country,countryiso3code,indicator,date,value
"Korea, Rep.",KOR,SP.POP.TOTL,1960,25012374
"Korea, Rep.",KOR,SP.POP.TOTL,1961,25765673
"Korea, Rep.",KOR,SP.POP.TOTL,1962,26513030
"Korea, Rep.",KOR,SP.POP.TOTL,1963,27261747
"Korea, Rep.",KOR,SP.POP.TOTL,1964,27984155
"Korea, Rep.",KOR,SP.POP.TOTL,1965,28704674
"Korea, Rep.",KOR,SP.POP.TOTL,1966,29435571
"Korea, Rep.",KOR,SP.POP.TOTL,1967,30130983
"Korea, Rep.",KOR,SP.POP.TOTL,1968,30838302
"Korea, Rep.",KOR,SP.POP.TOTL,1969,31544266
"Korea, Rep.",KOR,SP.POP.TOTL,1970,32240827
"Korea, Rep.",KOR,SP.POP.TOTL,1971,32882704
"Korea, Rep.",KOR,SP.POP.TOTL,1972,33505406
"Korea, Rep.",KOR,SP.POP.TOTL,1973,34103149
"Korea, Rep.",KOR,SP.POP.TOTL,1974,34692266
"Korea, Rep.",KOR,SP.POP.TOTL,1975,35280725
"Korea, Rep.",KOR,SP.POP.TOTL,1976,35848523
"Korea, Rep.",KOR,SP.POP.TOTL,1977,36411795
"Korea, Rep.",KOR,SP.POP.TOTL,1978,36969185
"Korea, Rep.",KOR,SP.POP.TOTL,1979,37534236
"Korea, Rep.",KOR,SP.POP.TOTL,1980,38123775
"Korea, Rep.",KOR,SP.POP.TOTL,1981,38723248
"Korea, Rep.",KOR,SP.POP.TOTL,1982,39326352
"Korea, Rep.",KOR,SP.POP.TOTL,1983,39910403
"Korea, Rep.",KOR,SP.POP.TOTL,1984,40405956
"Korea, Rep.",KOR,SP.POP.TOTL,1985,40805744
"Korea, Rep.",KOR,SP.POP.TOTL,1986,41213674
"Korea, Rep.",KOR,SP.POP.TOTL,1987,41621690
"Korea, Rep.",KOR,SP.POP.TOTL,1988,42031247
"Korea, Rep.",KOR,SP.POP.TOTL,1989,42449038
"Korea, Rep.",KOR,SP.POP.TOTL,1990,42869283
"Korea, Rep.",KOR,SP.POP.TOTL,1991,43295704
"Korea, Rep.",KOR,SP.POP.TOTL,1992,43747962
"Korea, Rep.",KOR,SP.POP.TOTL,1993,44194628
"Korea, Rep.",KOR,SP.POP.TOTL,1994,44641540
"Korea, Rep.",KOR,SP.POP.TOTL,1995,45092991
"Korea, Rep.",KOR,SP.POP.TOTL,1996,45524681
"Korea, Rep.",KOR,SP.POP.TOTL,1997,45953580
"Korea, Rep.",KOR,SP.POP.TOTL,1998,46286503
"Korea, Rep.",KOR,SP.POP.TOTL,1999,46616677
"Korea, Rep.",KOR,SP.POP.TOTL,2000,47008111
"Korea, Rep.",KOR,SP.POP.TOTL,2001,47370164
"Korea, Rep.",KOR,SP.POP.TOTL,2002,47644736
"Korea, Rep.",KOR,SP.POP.TOTL,2003,47892330
"Korea, Rep.",KOR,SP.POP.TOTL,2004,48082519
"Korea, Rep.",KOR,SP.POP.TOTL,2005,48184561
"Korea, Rep.",KOR,SP.POP.TOTL,2006,48438292
"Korea, Rep.",KOR,SP.POP.TOTL,2007,48683638
"Korea, Rep.",KOR,SP.POP.TOTL,2008,49054708
"Korea, Rep.",KOR,SP.POP.TOTL,2009,49307835
"Korea, Rep.",KOR,SP.POP.TOTL,2010,49554112
"Korea, Rep.",KOR,SP.POP.TOTL,2011,49936638
"Korea, Rep.",KOR,SP.POP.TOTL,2012,50199853
"Korea, Rep.",KOR,SP.POP.TOTL,2013,50428893
"Korea, Rep.",KOR,SP.POP.TOTL,2014,50746659
"Korea, Rep.",KOR,SP.POP.TOTL,2015,51014947
"Korea, Rep.",KOR,SP.POP.TOTL,2016,51217803
"Korea, Rep.",KOR,SP.POP.TOTL,2017,51361911
"Korea, Rep.",KOR,SP.POP.TOTL,2018,51585058
"Korea, Rep.",KOR,SP.POP.TOTL,2019,51764822
"Korea, Rep.",KOR,SP.POP.TOTL,2020,51836239
"Korea, Rep.",KOR,SP.POP.TOTL,2021,51769539
"Korea, Rep.",KOR,SP.POP.TOTL,2022,51672569
"Korea, Rep.",KOR,SP.POP.TOTL,2023,51712619
"Korea, Rep.",KOR,SP.POP.TOTL,2024,51751065
"Korea, Rep.",KOR,SP.POP.TOTL,2025,
